year,sky_nat_esc,snq_nat_esc,tot_nat_esc,sky_nor_esc,snq_nor_esc,tot_nor_esc,blank,sky_hat_esc,snq_hat_esc,tot_hat_esc
1965,4693,525,5218,,,,,,,
1966,6463,1188,7651,,,,,,,
1967,2899,321,3220,,,,,,,
1968,4301,756,5057,,,,,,,
1969,3066,424,3490,,,,,,,
1970,4687,821,5508,,,,,,,
1971,6756,785,7541,,,,,,,
1972,2726,348,3074,,,,,,,
1973,3621,656,4277,,,,,,,
1974,4684,1061,5745,,,,,,,
1975,3030,923,3953,,,,,,,
1976,3223,1436,4659,,,,,,,
1977,4529,1013,5542,,,,,,,
1978,5849,2056,7905,,,,,,,
1979,5277,449,5726,,,,,,,
1980,5221,1305,6526,,,,,,,
1981,2408,922,3330,,,,,,,
1982,3690,808,4498,,,,,,,
1983,2813,1724,4537,,,,,,,
1984,2389,1095,3484,,,,,,,
1985,3580,1150,4730,,,,,,,
1986,3377,1157,4534,,,,,,,
1987,3834,855,4689,,,,,,,
1988,4004,509,4513,,,,,,,
1989,2221,952,3173,,,,,,,
1990,3445,1277,4722,,,,,,,
1991,2172,628,2800,,,,,,,
1992,2002,706,2708,,,,,,,
1993,1653,2366,4019,,,,,,,
1994,2898,508,3406,,,,,,,
1995,2791,565,3356,,,,,,,
1996,3819,1032,4851,,,,,,,
1997,2161,1917,4078,1540,1796,3336,,,,
1998,4415,1891,6306,1495,1361,2856,,,,
1999,3446,1345,4791,1401,1040,2441,,,,
2000,4668,1427,6095,1775,1248,3023,,,,
2001,4577,3589,8166,3054,3284,6338,,,,
2002,4327,2896,7223,,,,,,,
2003,3472,1975,5447,,,,,,,
2004,7614,2988,10602,,,,,,,
2005,3201,1279,4480,,968,,,,,
2006,5573,2615,8188,4642,2161,6803,,931,454,1385
2007,2648,1334,3982,1510,1174,2684,,1138,160,1298
2008,5813,2560,8373,4780,2190,6970,,1033,370,1403
2009,1414,895,2309,1146,649,1795,,268,246,514
2010,2511,1788,4299,1836,1585,3420,,676,203,878
2011,1181,702,1883,876,477,1353,,305,225,530
2012,3745,1379,5124,2462,891,3353,,1283,488,1771
2013,2355,889,3244,1860,770,2630,,495,119,614
2014,3063,838,3901,1654,698,2352,,1409,140,1549
2015,3034,829,3863,1585,694,2279,,1449,135,1584
2016,3785,1368,5153,2363,1013,3376,,1422,355,1777
2017,4374,1745,6119,2790,1409,4199,,1584,336,1920
2018,3048,1162,4210,2259,823,3082,,789,339,1128
2019,966,676,1642,569,443,1012,,397,233,630
2020,2721,1211,3932,1975,804,2779,,747,407,1154
2021,2021,978,2999,1414,611,2025,,607,367,974
2022,4354,1281,5635,2779,861,3640,,1575,420,1995
2023,2198,645,2843,1138,423,1561,,1060,222,1282
2024,4347,2246,6593,3040,1369,4409,,1307,877,2184
