ReturnYear,Total Samples,Age2.Fingerling,Age3.Fingerling,Age4.Fingerling,Age5.Fingerling,Age3.Yearling,Age4.Yearling,Age5.Yearling
2006,173,10,17,87,15,3,30,11
2007,90,1,31,31,11,1,7,8
2008,106,1,9,68,4,1,21,2
2009,118,1,8,86,9,1,5,8
2010,137,6,6,39,29,6,19,32
2011,46,1,1,26,3,1,6,8
2012,251,1,48,143,20,5,26,8
2013,183,1,5,123,23,3,8,20
2014,95,6,9,24,32,3,9,12
2015,212,3,33,102,16,13,17,28
2016,250,9,68,129,13,11,18,2
2017,422,7,40,311,27,9,21,7
2018,192,11,45,100,11,14,5,6
2019,71,2,18,39,5,4,2,1
2020,164,21,12,105,2,12,10,2
2021,127,1,34,63,8,1,15,5
2022,234,9,31,169,5,2,15,3
2023,126,9,27,63,13,5,8,1
2024,292,18,56,195,4,3,15,1
