Ecosystem Indicators,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"PDO
(Sum Dec-March)",5.07,-1.75,-4.17,1.86,-1.73,7.45,1.85,2.44,1.94,-0.17,-3.06,-5.41,2.17,-3.65,-5.07,-1.67,1.24,9.26,6.69,3.38,1.52,2.01,-0.76,-2.77,-5.32,-5.63,-3.07
"PDO
(Sum May-Sept)",-0.8,-6.79,-3.64,-4.58,-0.94,2.54,1.18,1.93,0.64,1.63,-5.89,-0.19,-4.05,-6.95,-7.58,-4,2.89,5.96,3.31,1.66,-0.51,2.11,-3.33,-6.52,-9.12,-9.22,-11.04
"ONI
(Average Jan-June)",1.116666667,-1.066666667,-1.066666667,-0.4,0.183333333,0.266666667,0.2,0.466666667,-0.3,0.083333333,-0.983333333,-0.233333333,0.55,-0.716666667,-0.433333333,-0.3,-0.283333333,0.666666667,1.216666667,0.133333333,-0.45,0.716666667,0.283333333,-0.72,-0.98,0.05,0.95
"SST NDBC buoys 
(°C; May-Sept)",13.76867308,13.20417683,13.32789769,12.97676974,13.04661182,13.56115291,14.67848545,13.58226399,12.72942277,13.64097859,12.44574041,13.44213275,12.75560318,13.2285461,13.34482771,13.71511667,14.02819022,13.89484867,13.82534761,13.58565066,13.70750217,14.67729003,13.4,12.95,13.73,13.64,13.41949675
"Upper 20 m T
(°C; Nov-Mar)",12.2959039,10.30529062,10.12394128,10.22219663,10.07917918,10.72675073,10.86371172,10.59440829,10.60946295,10.03768906,9.326896191,10.19124751,11.01262498,10.02330954,9.620569549,10.12041676,9.615473495,12.72678187,12.02582561,11.46567218,10.62783154,10.98598149,9.371564511,10.12137,10.54841797,9.863849941,11.56
"Upper 20 m T
(°C; May-Sept)",10.40357818,10.06769873,10.15571187,9.764306758,8.97108534,9.621274284,11.316467,10.72929709,9.972286334,10.06684928,9.298367109,9.896447049,10.4233498,9.9498684,9.923543933,10.427661,10.94522461,10.20576154,10.29691985,10.14293879,10.33529363,11.30509046,10.86625507,9.666088433,10.84980968,9.789848278,10.1272096
"Deep temperature
(°C; May-Sept)",8.613591782,7.627874994,7.741633336,7.557718356,7.462423293,7.809176739,7.881248824,7.969121695,7.833391104,7.57536466,7.476170047,7.733894928,7.651098018,7.808944294,7.556963332,7.936553383,8.379953273,8.137868261,7.880979967,8.056105065,8.106109953,8.044206699,8.675759983,7.499560022,8.155799961,8.14158926,7.746360111
"Deep salinity
(May-Sept)",33.53637155,33.85741997,33.7818395,33.85520331,33.85120977,33.68387006,33.6637949,33.77227351,33.84802322,33.87874667,33.86705526,33.71984978,33.72274675,33.75281555,33.74855309,33.75643361,33.53053029,33.71075179,33.82894974,33.84759483,33.85225029,33.78910344,33.54421959,33.89827919,33.6166893,33.71270785,33.63865019
"Copepod richness anom.
(no. species; May-Sept)",4.187413793,-2.929252874,-3.759252874,-1.379252874,-1.47091954,1.637413793,1.070747126,4.037413793,2.330747126,-0.979252874,-1.112586207,-0.99591954,2.770747126,-2.482586207,-1.662586207,-2.862586207,-0.462586207,7.070747126,7.80408046,2.437413793,0.037413793,-0.29591954,-2.029252874,-2.79591954,-3.529252874,-1.609252874,-0.362586207
"N. copepod biomass anom.
(mg C m-3; May-Sept)",-0.728311684,0.077353983,0.174779094,0.120111649,0.229333038,-0.141618351,0.045644427,-0.851939462,-0.071985351,0.091271094,0.215594983,0.155473872,0.113359983,0.400289983,0.358176649,0.272187761,0.239233316,-0.390123906,-0.900217795,-0.559426684,0.156759983,0.333476649,0.451649983,0.558598872,0.079553316,0.155387761,0.305795538
